"id";"title";"pages";"year";"date";"url";"conference_name";"count"
73;"Text Mining into Distributed Bioinformatics Workflows: A Web Services Implementation.";"145-152";2004;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2004.1358001";"IEEE SCC";0
74;"Collaborative Business Processes Integration and Management - Lessons learned from industry.";"451-457";2007;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2007.41";"IEEE SCC";0
75;"Data Decomposition Based Partial Replication Model for Software Services.";"256-263";2013;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2013.83";"IEEE SCC";0
76;"Information Discovery across Organizational Boundaries through Local Caching.";"522-529";2007;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2007.70";"IEEE SCC";0
77;"Risk-Aware Web Service Allocation in the Cloud Using Portfolio Theory.";"675-682";2013;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2013.40";"IEEE SCC";0
78;"Health Identification and Outcome Prediction for Outsourcing Services Based on Textual Comments.";"155-162";2014;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2014.29";"IEEE SCC";0
79;"A distributed service-oriented mediation tool.";"403-409";2007;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2007.3";"IEEE SCC";0
80;"Context-Aware Service Recommendation on High Performance Cluster.";"144-151";2013;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2013.87";"IEEE SCC";0
81;"A Backwards Composition Context Based Service Selection Approach for Service Composition.";"419-426";2009;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2009.25";"IEEE SCC";0
82;"Reconciliation of Ontology Mappings to Support Robust Service Interoperability.";"298-305";2011;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2011.83";"IEEE SCC";0
83;"Online Self-Reconfiguration with Performance Guarantee for Energy-Efficient Large-Scale Cloud Computing Data Centers.";"514-521";2010;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2010.69";"IEEE SCC";0
84;"Introducing EAI and Service Components into Process Management.";"271-276";2004;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2004.1358015";"IEEE SCC";0
85;"Architecture for Service Request Driven Solution Delivery Using Grid Systems.";"414-422";2006;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2006.23";"IEEE SCC";0
86;"Design Principles for B2B Services - An Evaluation of Two Alternative Service Designs.";"372-379";2007;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2007.50";"IEEE SCC";0
87;"Web Content Consistency Through Explicit Ownership Definition.";"531-532";2006;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2006.114";"IEEE SCC";0
88;"Rain4Service: An Approach towards Decentralized Web Service Composition.";"267-274";2014;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2014.43";"IEEE SCC";0
89;"Theoretical Framework for Eliminating Redundancy in Workflows.";"41-48";2009;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2009.19";"IEEE SCC";0
90;"A Fine-grained Parallel Programming Model for Grid Computing.";"613-616";2004;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2004.1358076";"IEEE SCC";0
91;"Service Spectrum for Service Engineering.";"686-687";2007;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2007.100";"IEEE SCC";0
92;"A Process Component Model for Enterprise Business Knowledge Reuse.";"409-412";2004;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2004.1358031";"IEEE SCC";0
93;"Context-Aware Service Adaptation via Learning Classifier System with Co-evolutionary Mechanism.";"679-680";2012;"2013-08-06";"http://dx.doi.org/10.1109/SCC.2012.9";"IEEE SCC";0
94;"Consensus-Based Service Selection Using Crowdsourcing Under Fuzzy Preferences of Users.";"17-26";2014;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2014.12";"IEEE SCC";0
95;"A Meta-Model Approach for the Deployment of Services-oriented Applications.";"348-355";2007;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2007.11";"IEEE SCC";0
96;"Service-Based Computing Strategy & Planning.";"not available";2005;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2005.85";"IEEE SCC";0
97;"Contextual Collaboration: Platform and Applications.";"197-206";2004;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2004.1358007";"IEEE SCC";0
98;"Dynamic Processor Resource Configuration in Virtualized Environments.";"32-39";2011;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2011.37";"IEEE SCC";0
99;"Effective Acquisition of Geospatial Data Products in a Collaborative Grid Environment.";"455-462";2006;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2006.46";"IEEE SCC";0
100;"Task Exception Handling in the VIEW Scientific Workflow System.";"637-638";2010;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2010.77";"IEEE SCC";0
101;"Business-Driven Trust Federation Management for Service Marketplaces.";"594-601";2010;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2010.100";"IEEE SCC";0
102;"Grid Service and JCA: An Effective Integration Strategy.";"571-574";2004;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2004.1358066";"IEEE SCC";0
103;"Business Transformation Based on Cloud Services.";"844-845";2014;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2014.117";"IEEE SCC";0
104;"Tools and Support for Deploying Applications on the Grid.";"281-287";2004;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2004.1358016";"IEEE SCC";0
105;"An Information Model for the Provisioning of Network Connections Enabling Customer-Specific End-to-End QoS Guarantees.";"138-145";2010;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2010.10";"IEEE SCC";0
106;"E-Auctions for Multi-Cloud Service Provisioning.";"35-42";2014;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2014.14";"IEEE SCC";0
107;"Towards Combining Declarative Specification with On-the-Fly Mediation.";"691-698";2013;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2013.18";"IEEE SCC";0
108;"A model for extending legacy applications by implementing new requirements as components.";"143-150";2006;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2006.10";"IEEE SCC";0
109;"Title Page.";"not available";2005;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2005.8";"IEEE SCC";0
110;"WeBaSeRex: Next Generation Internet Network Design using Web based Remote Execution environments.";"200-210";2005;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2005.110";"IEEE SCC";0
111;"Ontology-Based Universal Knowledge Grid: Enabling Knowledge Discovery and Integration on the Grid.";"557-560";2004;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2004.1358063";"IEEE SCC";0
112;"Resource Allocation Based On Workflow For Enhancing the Performance of Composite Service.";"552-559";2007;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2007.93";"IEEE SCC";0
113;"Automating Service Matchmaking using Type Theory.";"723-724";2007;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2007.29";"IEEE SCC";0
114;"Business-Activity Driven Search: Addressing the Information Needs of Services Professionals.";"644-651";2007;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2007.37";"IEEE SCC";0
115;"Semantic based Service-Oriented Grid Architecture for Business Processes.";"423-430";2006;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2006.86";"IEEE SCC";0
116;"CloudStreamMedia: A Cloud Assistant Global Video on Demand Leasing Scheme.";"486-493";2013;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2013.91";"IEEE SCC";0
117;"Dynamic Composition of Services in Sensor Networks.";"242-249";2010;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2010.26";"IEEE SCC";0
118;"Analyzing Impact Factors on Composite Services.";"218-226";2009;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2009.20";"IEEE SCC";0
119;"Switching Cost, Market Effects and the Pricing Model of e-Commerce.";"403-408";2004;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2004.1358030";"IEEE SCC";0
120;"The Importance of Considering Information Quality in the Implementation of Service-Oriented Architecture Initiatives.";"583-586";2013;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2013.22";"IEEE SCC";0
121;"Data Visualization of Web Service with Parallel Coordinates and NodeTrix.";"766-773";2014;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2014.104";"IEEE SCC";0
122;"Modeling and Configuration of Process Variants for On-Boarding Customers to IT Outsourcing.";"415-422";2012;"2012-10-08";"http://dx.doi.org/10.1109/SCC.2012.32";"IEEE SCC";0
123;"A wavelet based distributed ID model.";"261-263";2005;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2005.19";"IEEE SCC";0
124;"Enabling Active Data Archival over Cloud.";"98-105";2012;"2012-10-08";"http://dx.doi.org/10.1109/SCC.2012.20";"IEEE SCC";0
125;"SOA based Context Aware Services Infrastructure.";"688-689";2007;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2007.110";"IEEE SCC";0
126;"QoS-Enabled Business-to-Business Integration Using ebBP to WS-BPEL Translations.";"17-24";2009;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2009.56";"IEEE SCC";0
127;"The Collaborative Configuration of Service-Oriented Product Lines Based on Evolutionary Approach.";"751-752";2013;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2013.23";"IEEE SCC";0
